Date,AveragePrice,Total.Volume,X4046,X4225,X4770,Total.Bags,Small.Bags,Large.Bags,XLarge.Bags,type,year,region
22/11/15,1.94,858.83,13.84,84.18,0,760.81,755.69,5.12,0,organic,2015,Albany
28/05/17,1.51,12422.96,644.63,3161.32,0,8617.01,2471.99,6145.02,0,organic,2017,Columbus
12/03/17,1.32,239083.77,145739.86,25219.09,271.03,67853.79,51341.55,9832.24,6680,conventional,2017,NewOrleansMobile
25/03/18,1.38,16411.89,956.73,10.91,0,15444.25,15430.91,13.34,0,organic,2018,Pittsburgh
08/10/17,1.57,45452.47,8991.47,18883.83,12.52,17564.65,10518.27,7046.38,0,conventional,2017,Syracuse
02/08/15,1.18,2674633.13,1539272.45,430133.96,81144.7,624082.02,502278.3,121708.26,95.46,conventional,2015,Southeast
25/01/15,1.08,1510836.96,841332.54,454162.3,14022.68,201319.44,198193.38,1929.49,1196.57,conventional,2015,Plains
21/08/16,0.87,5682046.61,3137489.03,1105902.29,25630.41,1413024.88,1245189.33,153644.22,14191.33,conventional,2016,SouthCentral
01/10/17,1.22,598455.99,357909.12,121221.98,517.3,118807.59,62874.85,55932.74,0,conventional,2017,WestTexNewMexico
20/08/17,1.92,64189.39,1398.68,24463.43,114.98,38212.3,28827.29,9385.01,0,organic,2017,Plains
11/09/16,1.42,180989.26,34440.65,59554.19,17914.48,69079.94,61214.7,7860.24,5,conventional,2016,Charlotte
12/04/15,1.86,823.5,0,606.83,0,216.67,216.67,0,0,organic,2015,GrandRapids
15/10/17,1.68,4066640.98,1348029.41,1699672.65,137027.4,881911.52,822315.27,22733.62,36862.63,conventional,2017,California
15/05/16,2.02,34788.28,4328.47,15961.11,2631.05,11867.65,11026.93,840.72,0,organic,2016,NewYork
19/07/15,1.07,168164.47,4866.47,101983.73,15100.98,46213.29,25201.47,18741.75,2270.07,conventional,2015,Indianapolis
14/08/16,1.18,657981.41,120449.87,189114.15,19582.82,328834.57,100509.79,228324.78,0,conventional,2016,Denver
10/12/17,1.59,5477.32,19.21,1730.07,0,3728.04,2376.7,1351.34,0,organic,2017,Nashville
17/12/17,1.03,267987.97,62937.38,102137.37,3955.11,98958.11,63479.54,35185.24,293.33,conventional,2017,LasVegas
18/03/18,1.75,18371.03,836.22,10877.69,0,6657.12,6657.12,0,0,organic,2018,SanDiego
11/10/15,1.79,4198.66,609.99,1494.47,511.45,1582.75,1239.96,342.79,0,organic,2015,SouthCarolina
24/04/16,1.44,15395.22,460.03,9677.47,0,5257.72,2457.02,2800.7,0,organic,2016,CincinnatiDayton
24/01/16,0.88,6246380.73,1230068.19,2457751.77,272665.17,2285895.6,2122673.09,147881.99,15340.52,conventional,2016,California
10/01/16,1.37,12647.9,1591.6,4070.29,23.41,6962.6,6780.56,182.04,0,organic,2016,WestTexNewMexico
09/04/17,1.53,5340.95,572.93,2987.08,0,1780.94,1123.08,657.86,0,organic,2017,Nashville
06/11/16,1.14,894904.55,513465.9,163205.79,1932.2,216300.66,215425.13,273.66,601.87,conventional,2016,DallasFtWorth
15/03/15,1.1,1590080.35,839457.23,435373.81,10344.37,304904.94,300231.39,3729.66,943.89,conventional,2015,Plains
03/07/16,0.95,515792.87,214287.07,125503.35,20517.76,155484.69,116583.25,38901.44,0,conventional,2016,SouthCarolina
31/07/16,1.24,4221.4,22.71,82.02,0,4116.67,4060,56.67,0,organic,2016,Tampa
16/04/17,0.88,6949890.75,3783304.41,1212653.06,23850.86,1930082.42,1783244.66,127878.28,18959.48,conventional,2017,SouthCentral
19/07/15,1.56,41636.8,17780.38,15390.1,0,8466.32,8466.32,0,0,organic,2015,LosAngeles
15/02/15,1.7,7309.84,2095.43,2610.02,0,2604.39,2604.39,0,0,organic,2015,WestTexNewMexico
04/01/15,1.1,407675.56,24190.91,294715.33,2121.45,86647.87,72829.94,13817.93,0,conventional,2015,Philadelphia
12/04/15,1.24,382583.75,119295.38,208546.45,13073.16,41668.76,41625.86,42.9,0,conventional,2015,Sacramento
03/12/17,1.61,4677.74,40.64,534.88,0,4102.22,4091.12,11.1,0,organic,2017,Tampa
27/11/16,1.34,103728.7,8422.19,43655.05,1231.47,50419.99,26198.63,24221.36,0,conventional,2016,Indianapolis
29/11/15,1.51,1203.52,4.91,14.34,0,1184.27,1184.27,0,0,organic,2015,MiamiFtLauderdale
02/07/17,2.03,2268.86,59.41,278.04,0,1931.41,1931.41,0,0,organic,2017,Albany
12/11/17,0.93,432903,163957,42219,8156,218572,185753,32216,602,conventional,2017,Detroit
01/10/17,1.72,227535.41,132184.69,21112.28,9,74229.44,61436.17,12793.27,0,conventional,2017,NewOrleansMobile
28/02/16,1.29,10997.51,2077.08,3518.48,0,5401.95,5374.07,27.88,0,organic,2016,LasVegas
25/03/18,1.39,641462.43,26019.52,479186.12,1883.17,134373.62,109938.39,22955.23,1480,conventional,2018,Boston
18/06/17,1.16,152802.24,30545.71,47417.92,97.56,74741.05,69630.36,2860.69,2250,conventional,2017,Roanoke
02/04/17,1.15,169374.96,32991.83,50584.41,94.1,85704.62,84689.06,1015.56,0,conventional,2017,Roanoke
09/07/17,1.26,267928.19,156935.51,23221.13,28.96,87742.59,80324.72,5261.2,2156.67,conventional,2017,NewOrleansMobile
12/11/17,2.06,26826.82,932.33,10692.37,23.09,15179.03,1219.02,13948.61,11.4,organic,2017,Seattle
31/07/16,1.57,376353.23,15974.97,180678.21,12676.62,167023.43,161291.97,3766.46,1965,conventional,2016,Philadelphia
25/03/18,1.42,163496.7,29253.3,5080.04,0,129163.36,109052.26,20111.1,0,organic,2018,SouthCentral
17/01/16,1.47,8854.46,2067.07,4156.83,0,2630.56,2611.22,19.34,0,organic,2016,LasVegas
12/06/16,1.34,850862.92,73620.83,507383.48,55744.03,214114.58,207727.87,3451.71,2935,conventional,2016,BaltimoreWashington
29/03/15,1.29,52419.71,1020.84,28858.3,42.67,22497.9,22377.48,120.42,0,conventional,2015,Syracuse
08/02/15,1.73,5749.75,56.66,2117.25,855.4,2720.44,2635.69,84.75,0,organic,2015,RaleighGreensboro
05/04/15,1.49,2029.52,66.72,1068.47,0,894.33,420.96,473.37,0,organic,2015,Indianapolis
18/02/18,1.21,121002.8,32928.15,18278.91,1037.34,68758.4,40103.96,28647.77,6.67,conventional,2018,Pittsburgh
23/07/17,1.46,455369.95,190512.25,135877.1,19475.81,109504.79,101991.15,4401.18,3112.46,conventional,2017,SanDiego
29/01/17,1.01,381506.2,125847.46,70435.94,6902.42,178320.38,174385.95,3782.91,151.52,conventional,2017,Detroit
14/05/17,0.85,268519.12,17926.54,93535.99,1422.94,155633.65,44372.98,111176.5,84.17,conventional,2017,Indianapolis
26/02/17,1.34,215699.08,26443.61,69371.98,3.16,119880.33,102260.68,17619.65,0,organic,2017,California
17/01/16,1.68,8382.56,805.42,1997.8,33.34,5546,565.36,4980.64,0,organic,2016,Philadelphia
26/11/17,1.36,225495,64578,73321,3144,84452,82420,2032,0,conventional,2017,RaleighGreensboro
16/10/16,1.95,16843.53,824.95,9095.02,680.3,6243.26,6226.14,17.12,0,organic,2016,BaltimoreWashington
10/12/17,0.79,1266364.71,459265.36,294180.18,6828.23,506090.94,416839.01,89251.93,0,conventional,2017,Houston
27/08/17,1.57,296756.62,189042.09,27713.25,101.45,79899.83,46809.61,27371.33,5718.89,conventional,2017,Orlando
13/03/16,1.96,33409.96,7270.09,12040.43,2080.55,12018.89,10528.46,1490.43,0,organic,2016,NewYork
30/10/16,1.86,112134.82,3718.89,73774.98,0,34640.95,19270.51,15370.44,0,organic,2016,GreatLakes
07/01/18,1.51,7370.53,42.17,400.58,0,6927.78,6921.12,6.66,0,organic,2018,Tampa
25/10/15,1.2,234361.36,3444.57,183080.97,300.22,47535.6,43920.24,3615.36,0,conventional,2015,HartfordSpringfield
22/05/16,0.96,271979.26,79353.25,105907.42,5994.65,80723.94,78267.45,6.49,2450,conventional,2016,RichmondNorfolk
15/05/16,1.06,709563.16,5790.13,517840.35,63055.48,122877.2,122533.87,198.89,144.44,conventional,2016,Boston
13/03/16,0.79,2987393.94,767298.16,657175.2,96884.94,1466035.64,1318493.96,129444.42,18097.26,conventional,2016,LosAngeles
18/01/15,1.84,4027.45,279.22,2959.75,0,788.48,213.33,575.15,0,organic,2015,Columbus
20/09/15,1.36,25808.98,6109.72,3509.31,13.7,16176.25,356.67,15819.58,0,organic,2015,Denver
30/07/17,2.14,10110.25,1825.73,3948.19,0,4336.33,4326.5,9.83,0,organic,2017,SanFrancisco
06/11/16,1.26,4245702.35,1493574.72,867974.26,119469.87,1764683.5,1168746.58,593225.94,2710.98,conventional,2016,West
15/02/15,1.23,696515.27,176265.06,414826.51,27243.31,78180.39,77306.88,824.45,49.06,conventional,2015,SanFrancisco
08/11/15,0.93,86929.62,2052.89,52494.09,6709.02,25673.62,10817.81,12978.02,1877.79,conventional,2015,Louisville
05/04/15,0.83,1249645.2,608887.6,496479.07,4878.2,139400.33,132586.15,6814.18,0,conventional,2015,Houston
19/03/17,1.04,6242381.13,2318973.17,1100226.44,142718.03,2680463.49,1775537.5,900751.44,4174.55,conventional,2017,West
13/12/15,1.43,12224.14,6036.65,389.17,0,5798.32,5798.32,0,0,organic,2015,DallasFtWorth
13/08/17,2.01,8435.52,1182.39,3688.93,11.24,3552.96,3403.12,149.84,0,organic,2017,WestTexNewMexico
21/06/15,2.09,1053.73,17.59,107.87,0,928.27,928.27,0,0,organic,2015,Albany
05/04/15,0.99,237821.61,166893.13,7766.84,250,62911.64,57555.16,5167.59,188.89,conventional,2015,NewOrleansMobile
11/10/15,1,217777.46,135769.89,16126.01,1155.54,64726.02,56426.31,8293.55,6.16,conventional,2015,NewOrleansMobile
04/12/16,1.55,2945.91,102.91,5.82,0,2837.18,2061.25,775.93,0,organic,2016,NewOrleansMobile
04/02/18,1.15,113023.35,5795.04,77127.19,87.42,30013.7,7708.12,22305.58,0,conventional,2018,Syracuse
24/07/16,1.45,22178.66,17407.63,22.74,0,4748.29,4701.62,46.67,0,organic,2016,Houston
11/06/17,1.32,312695,187011.15,31940.35,188,93555.5,76637.93,8992.57,7925,conventional,2017,NewOrleansMobile
30/08/15,1.26,381319.43,14942.34,269812.12,654.66,95910.31,86293.69,9570.66,45.96,conventional,2015,Philadelphia
11/01/15,1.08,60232.63,52087.31,2063.44,0,6081.88,6081.88,0,0,organic,2015,LosAngeles
28/06/15,1.31,496302.98,175064.74,222871.77,13848.78,84517.69,84437.86,58.06,21.77,conventional,2015,Seattle
31/05/15,1.36,64839.58,744.02,34985.62,44.53,29065.41,29065.41,0,0,conventional,2015,Syracuse
13/08/17,1.85,129688.16,2791.66,38100,837.16,87959.34,85427.32,2532.02,0,organic,2017,Midsouth
15/05/16,0.83,844349.33,87749.32,218295.82,12759.69,525544.5,523711.87,1383.28,449.35,conventional,2016,Seattle
28/06/15,1.2,81276.47,38303.6,26660.48,6367.68,9944.71,9944.71,0,0,conventional,2015,Spokane
13/03/16,1.1,533501.85,27514.15,380794.66,775.58,124417.46,115167.32,9250.14,0,conventional,2016,Philadelphia
06/03/16,1.37,867.18,136.29,127.11,4.59,599.19,588.98,10.21,0,organic,2016,Pittsburgh
22/01/17,1.23,4964.5,296.3,67.34,20.81,4580.05,1396.67,3183.38,0,organic,2017,Jacksonville
05/04/15,1.36,11720.06,8239.86,486.87,0,2993.33,2993.33,0,0,organic,2015,DallasFtWorth
28/02/16,0.91,36801817.68,11907394.72,13210854.56,1560167.75,10123400.65,7251666.99,2802238.74,69494.92,conventional,2016,TotalUS
28/08/16,2.24,18871.59,5595.5,12638.28,31.08,606.73,532.98,73.75,0,organic,2016,Seattle
16/04/17,1.36,3543152.49,561509.96,1337527.18,255439.7,1388675.65,937394.9,394791.96,56488.79,conventional,2017,GreatLakes
28/05/17,2.19,5712.13,0,711.28,0,5000.85,980,4020.85,0,organic,2017,BuffaloRochester
28/06/15,0.77,1203553.98,760374.24,302577.78,7191.26,133410.7,125900.09,7499.76,10.85,conventional,2015,DallasFtWorth
24/09/17,1.64,68539.64,2508.62,56023.16,74.82,9933.04,5391.35,4541.69,0,conventional,2017,Albany
08/03/15,1.91,2566.9,29.07,945.32,0,1592.51,1592.51,0,0,organic,2015,Boston
20/08/17,1.57,18983.06,6268.52,28.56,0,12685.98,12565.99,119.99,0,organic,2017,Houston
21/02/16,0.98,214625.59,57431.41,101387.49,5839.55,49967.14,46939.94,3027.2,0,conventional,2016,RichmondNorfolk
27/12/15,1.51,14201.42,363.5,5263.2,318.34,8256.38,2247.43,6008.95,0,organic,2015,BaltimoreWashington
28/08/16,1.69,13652.91,2630.75,2321.75,11.34,8689.07,5137.77,3551.3,0,organic,2016,WestTexNewMexico
09/07/17,1.01,124946.18,2696.41,45861.16,209.51,76179.1,22207.37,53245.65,726.08,conventional,2017,Louisville
03/12/17,1.72,6856.14,184.1,3716.8,0,2955.24,2570.98,384.26,0,organic,2017,CincinnatiDayton
04/01/15,1.05,321823.77,4966.76,264351.96,14.68,52490.37,52490.37,0,0,conventional,2015,NorthernNewEngland
29/10/17,1.55,138190.33,2263.72,65813.83,21510.67,48602.11,40970.87,2846.34,4784.9,conventional,2017,GrandRapids
11/02/18,0.7,8043965.41,3886584.49,917502.14,24745.18,3215133.6,2589009.32,574460.87,51663.41,conventional,2018,SouthCentral
16/08/15,1.09,78926.9,5051.31,45325.78,7750.34,20799.47,11076,7718.56,2004.91,conventional,2015,Louisville
31/07/16,1.56,188494.23,21895.14,83894.93,12.45,82691.71,78991.53,3700.18,0,organic,2016,California
11/06/17,1.75,296173.79,11601.99,218427.65,135.11,66009.04,62894.62,6.09,3108.33,conventional,2017,HartfordSpringfield
25/02/18,1.47,47421.15,1626.3,7913.27,49.45,37832.13,37822.13,10,0,organic,2018,BaltimoreWashington
11/03/18,1.1,5239198.71,2984665.37,403000.78,18332.57,1833199.99,1211466.26,610537.41,11196.32,conventional,2018,Southeast
10/05/15,1.85,2269.27,1.24,229.94,0,2038.09,2038.09,0,0,organic,2015,Syracuse
06/11/16,1.57,142095.92,36840.74,27501.34,25305.86,52447.98,45861.67,6586.31,0,conventional,2016,Charlotte
24/01/16,1.76,3735.44,332.43,1649.8,603.21,1150,1150,0,0,organic,2016,Charlotte
15/05/16,0.55,1318932.22,877701.71,266908.38,13478.11,160844.02,60965.94,99187.8,690.28,conventional,2016,PhoenixTucson
04/10/15,2.25,15454.59,1978.71,11877.16,47.48,1551.24,428.68,1122.56,0,organic,2015,NewYork
02/10/16,1.78,8909.48,262.02,3891.17,643.79,4112.5,4065.29,47.21,0,organic,2016,Charlotte
30/10/16,2.2,477937.8,130025.36,285048.2,3399.09,59465.15,57223.44,269.21,1972.5,conventional,2016,SanFrancisco
24/12/17,1.41,12966.31,527.99,2640.21,65.74,9732.37,9557.06,175.31,0,organic,2017,RichmondNorfolk
13/08/17,1.44,363916.69,227667.4,38433.45,166.56,97649.28,41567.72,47374.89,8706.67,conventional,2017,Orlando
10/05/15,1.03,2105831.09,1319397.29,424405.51,12270.69,349757.6,344545.73,3874.51,1337.36,conventional,2015,Plains
27/11/16,1.45,391257.01,4243.2,317090.39,3069.37,66854.05,66399.33,31.11,423.61,conventional,2016,Boston
25/12/16,1.15,69054.97,13134.96,22888.68,43.42,32987.91,32946.57,13.33,28.01,conventional,2016,Spokane
25/10/15,1.95,1106.41,14.34,690.76,3.91,397.4,220,177.4,0,organic,2015,Boise
11/10/15,1.14,485706.68,5145.86,378295.9,355.03,101909.89,97513.23,4396.66,0,conventional,2015,Boston
15/02/15,1.48,67813.61,7426.1,34306.93,4067.67,22012.91,18624.73,3388.18,0,organic,2015,Midsouth
17/04/16,1.51,36396.95,573.14,18659.47,19.73,17144.61,367.57,16777.04,0,organic,2016,Seattle
08/11/15,1.16,309186.06,5048.2,260745.71,171.88,43220.27,37770.33,5449.94,0,conventional,2015,HartfordSpringfield
29/05/16,1.16,11609.26,845.21,5055.04,0,5709.01,1665.11,4043.9,0,organic,2016,Nashville
22/11/15,1.3,63345.59,1584.89,42392.76,1119.61,18248.33,12552.12,5696.21,0,conventional,2015,Pittsburgh
19/03/17,1.23,11754.42,1756.42,4656.72,0,5341.28,125.41,5215.87,0,organic,2017,Atlanta
23/04/17,1.67,13678.61,3557.81,6186.19,0,3934.61,1470.08,2464.53,0,organic,2017,PhoenixTucson
12/07/15,1.6,5946.34,1501.4,2208.56,0,2236.38,608.67,1627.71,0,organic,2015,Atlanta
20/12/15,1.13,135427.66,40333.06,23867.6,40.52,71186.48,59160.36,12026.12,0,conventional,2015,StLouis
15/05/16,0.75,290603.88,69857.38,10440.9,46.32,210259.28,179609.78,30236.34,413.16,conventional,2016,StLouis
29/11/15,1.46,9412.9,5706.47,278.7,0,3427.73,3427.73,0,0,organic,2015,DallasFtWorth
06/09/15,1.01,227728.43,35126.74,62187.49,64372.34,66041.86,59197.7,6844.16,0,conventional,2015,Charlotte
05/03/17,0.83,318890.26,4497.87,85819.87,0,228572.52,30235.13,198337.39,0,organic,2017,GreatLakes
10/01/16,1.53,4746.74,684.01,2558.51,0,1504.22,594.98,909.24,0,organic,2016,Nashville
15/05/16,1.37,23075.45,6930.33,11799.94,0,4345.18,418.79,3926.39,0,organic,2016,PhoenixTucson
15/01/17,1.19,7707.31,297.27,12.11,0,7397.93,5116.66,2281.27,0,organic,2017,MiamiFtLauderdale
11/09/16,1.43,862732.45,222298.01,533967.64,11292.83,95173.97,94338.95,691.96,143.06,conventional,2016,SanFrancisco
16/10/16,1.68,2886,302.83,17.47,0,2565.7,2056.67,509.03,0,organic,2016,NewOrleansMobile
24/04/16,1.31,63398.87,667.33,41604.03,11.87,21115.64,435.55,20680.09,0,organic,2016,Seattle
28/08/16,1.29,281758.14,88767.63,100303.08,13156.44,79530.99,77895.51,434.09,1201.39,conventional,2016,RaleighGreensboro
27/08/17,1.6,3287.16,31.26,23.68,0,3232.22,3225.55,6.67,0,organic,2017,Tampa
14/08/16,1.25,85551.19,2056.05,54112.88,772.12,28610.14,17081.33,11518.81,10,conventional,2016,Louisville
29/03/15,1.27,13809.65,344.26,12693.87,0,771.52,690,81.52,0,organic,2015,CincinnatiDayton
23/04/17,1.46,358385.91,224054.93,51111.32,15.18,83204.48,56892.19,26297.01,15.28,conventional,2017,Tampa
18/10/15,0.97,1856337.85,23873.63,1598365.27,1173.01,232925.94,181854.71,51069.15,2.08,conventional,2015,NewYork
11/03/18,1.27,279661.71,72847.8,98059.2,6212.37,102542.34,96038.19,6503.04,1.11,conventional,2018,Charlotte
25/03/18,1.06,658169.39,75837.48,304991.92,14300.89,263039.1,166273.14,96427.92,338.04,conventional,2018,Portland
25/12/16,1.76,5456.42,895.62,2981.24,0,1579.56,0,1579.56,0,organic,2016,Atlanta
06/11/16,1.7,1141.59,1,105.72,0,1034.87,1034.87,0,0,organic,2016,Syracuse
20/08/17,1.84,7240,80.4,2884.69,0,4274.91,1925,2349.91,0,organic,2017,Nashville
02/04/17,0.7,1543050.06,879079.77,183771.99,3906.52,476291.78,316601.87,159683.24,6.67,conventional,2017,Houston
18/06/17,2.14,23752.11,549.98,14022.37,6.86,9172.9,8418.57,754.33,0,organic,2017,HartfordSpringfield
19/02/17,1.14,148184.85,4325.51,48328.21,1888.62,93642.51,32456.16,61186.35,0,organic,2017,Midsouth
04/01/15,1.35,53494.91,24139.72,8586.46,0,20768.73,20622.28,146.45,0,organic,2015,SouthCentral
10/04/16,0.82,86897.72,44344.9,3303.93,5340.61,33908.28,33662.76,156.09,89.43,conventional,2016,Boise
07/06/15,1.19,79733.85,40534.99,26271.71,3744.52,9182.63,9182.63,0,0,conventional,2015,Spokane
08/05/16,0.74,1052940.48,623286.74,183588.62,33224.01,212841.11,124984.25,83560.19,4296.67,conventional,2016,WestTexNewMexico
17/07/16,1.58,146730.62,2136.76,69205.5,24890.18,50498.18,38583.22,3582.14,8332.82,conventional,2016,GrandRapids
22/01/17,1,451738.89,159931.18,121922.88,6643.91,163240.92,98463.17,64777.75,0,conventional,2017,SouthCarolina
14/06/15,0.87,630746.82,403551.43,165020.73,14478.75,47695.91,43522.9,4173.01,0,conventional,2015,SanDiego
12/06/16,1.31,9826.29,998.33,2919.7,423.27,5484.99,3877.37,1607.62,0,organic,2016,SouthCarolina
14/05/17,0.74,162499.64,22355.83,7368.08,139.39,132636.34,91421.75,41214.59,0,organic,2017,Denver
10/04/16,1.21,91639,29757.15,7403.82,8.52,54469.51,41421.13,13048.38,0,organic,2016,SouthCentral
12/07/15,1.06,389782.2,4947.35,299937.47,11286.35,73611.03,71429.27,2181.76,0,conventional,2015,HartfordSpringfield
08/11/15,1.74,1802.37,871.03,10.19,0,921.15,921.15,0,0,organic,2015,Tampa
06/11/16,1.29,393826.35,167083.47,65207.61,168.26,161367.01,82410.76,78956.25,0,conventional,2016,Atlanta
23/08/15,1.69,7637.57,143.25,5309.86,0,2184.46,1123.34,1061.12,0,organic,2015,Roanoke
25/10/15,1.7,55916.99,2906.9,33178.27,4270.62,15561.2,12052.62,3508.58,0,organic,2015,Midsouth
12/07/15,1.56,14507.57,241.98,11177.28,0,3088.31,226.67,2861.64,0,organic,2015,CincinnatiDayton
06/03/16,2.09,2090.95,0,225.45,0,1865.5,520.25,1345.25,0,organic,2016,Syracuse
05/07/15,1.72,10481.04,7517.21,1465.5,0,1498.33,1126.67,371.66,0,organic,2015,PhoenixTucson
13/09/15,1.61,1602.4,0,102.48,0,1499.92,1499.92,0,0,organic,2015,Syracuse
28/01/18,0.82,7110840.99,3754423.75,780891.92,46906.91,2528618.41,2119296.19,408000.54,1321.68,conventional,2018,SouthCentral
22/05/16,1.97,11516.4,750.67,4399.1,8.71,6357.92,6250.8,107.12,0,organic,2016,Philadelphia
06/08/17,1.68,16939.38,6,281.35,0,16652.03,16652.03,0,0,organic,2017,NorthernNewEngland
19/02/17,0.94,179250.21,12336.44,74485.41,1362.8,91065.56,42818.68,48242.38,4.5,conventional,2017,Indianapolis
17/09/17,1.73,8437.05,125.46,1242.04,0,7066.78,4410.62,2656.16,0,organic,2017,Indianapolis
24/04/16,1.13,4815249.22,125736.57,3366389.1,142677.6,1180445.95,1087631.09,90193.01,2621.85,conventional,2016,Northeast
15/03/15,0.94,2690257.2,1841764.25,445562.2,70872.78,332057.97,313898.03,16220.47,1939.47,conventional,2015,LosAngeles
15/02/15,1.21,136761.35,1659.05,67025.59,4215.01,63861.7,57601.99,6203.39,56.32,conventional,2015,GrandRapids
19/04/15,1.01,95959.08,2113.76,62591.27,5341.52,25912.53,19572.82,5205.38,1134.33,conventional,2015,Louisville
25/03/18,1.15,477637.43,82568.15,72460.6,62078.52,260530.16,211303.55,21812.97,27413.64,conventional,2018,Detroit
08/02/15,1.54,3414.8,24.6,115.96,0,3274.24,3274.24,0,0,organic,2015,BuffaloRochester
22/01/17,1.89,13492.85,2.54,185.06,0,13305.25,13305.25,0,0,organic,2017,NorthernNewEngland
17/04/16,1.57,2548.55,1072.9,11.55,0,1464.1,1464.1,0,0,organic,2016,MiamiFtLauderdale
27/09/15,1.79,1602.79,24.36,1309.08,0,269.35,206.67,62.68,0,organic,2015,Louisville
24/09/17,2.49,2935.97,8.94,475.6,0,2451.43,516.43,1935,0,organic,2017,StLouis
12/03/17,1.45,9954.06,783.84,13.6,3.4,9153.22,8571.34,581.88,0,organic,2017,Pittsburgh
05/04/15,1.43,365947.19,15897.74,240591.74,1290.63,108167.08,94087.03,14028.66,51.39,conventional,2015,Philadelphia
13/03/16,1.54,19068.45,851.45,8994,281.67,8941.33,5005.66,3935.67,0,organic,2016,BaltimoreWashington
02/08/15,1.37,2477.04,4,1786.74,0,686.3,36.67,649.63,0,organic,2015,Louisville
26/07/15,1.59,1341.9,339.87,76.13,0,925.9,877.56,48.34,0,organic,2015,NewOrleansMobile
28/01/18,1.12,105025.45,66653.8,1971.68,6961.61,29438.36,20717.06,8682.47,38.83,conventional,2018,Boise
19/06/16,1.1,3955098.89,608467.47,1766243.34,431784.45,1148603.63,804836.17,242409.56,101357.9,conventional,2016,GreatLakes
24/05/15,0.83,1089679.39,662438.33,324447.92,5151.72,97641.42,58142.73,39498.69,0,conventional,2015,Houston
31/05/15,1.35,11467.23,5870.7,4092.11,0,1504.42,486.67,1017.75,0,organic,2015,LasVegas
10/07/16,1.6,105955.43,3422.52,52485.19,3438.89,46608.83,28960.77,17648.06,0,organic,2016,Midsouth
09/10/16,1.59,676188.97,72775.7,395481.19,20639.81,187292.27,185599.01,1332.15,361.11,conventional,2016,BaltimoreWashington
31/07/16,1.4,9346.26,558.77,3796.68,0,4990.81,1087.86,3902.95,0,organic,2016,Columbus
10/12/17,1.41,20516.2,237.25,282.59,9.3,19987.06,19982.08,4.98,0,organic,2017,HarrisburgScranton
08/05/16,0.82,1007800.54,88762.21,334254.33,11093.78,573690.22,552847.39,19202.66,1640.17,conventional,2016,Seattle
07/08/16,1.48,99683.11,14670.87,69054.28,10.9,15947.06,14597.2,178.19,1171.67,conventional,2016,Albany
03/04/16,1.31,3140.08,633.59,5.99,0,2500.5,2500.5,0,0,organic,2016,NewOrleansMobile
28/08/16,1.33,421583.74,150624.23,225695.86,5537.68,39725.97,39589.51,5.9,130.56,conventional,2016,Sacramento
05/03/17,0.72,4667.26,19.04,603.63,0,4044.59,171.7,3872.89,0,organic,2017,Boise
